City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,midvagur,62.0511,-7.1939,10.46,87,75,8.23,FO,1717175840
1,port mathurin,-19.6833,63.4167,24.58,69,71,11.88,MU,1717175840
2,yazd,31.8972,54.3675,35.06,10,0,3.09,IR,1717175840
3,mossel bay,-34.1831,22.146,12.96,70,100,2.65,ZA,1717175841
4,port-aux-francais,-49.35,70.2167,6.38,95,100,15.63,TF,1717175841
5,maintirano,-18.0667,44.0167,25.34,71,0,3.03,MG,1717175841
6,port macquarie,-31.4333,152.9167,15.5,80,100,0.51,AU,1717175842
7,adamstown,-25.066,-130.1015,20.18,64,1,5.86,PN,1717175842
8,sitka,57.0531,-135.33,12.94,54,100,7.2,US,1717175842
9,nova vicosa,-17.8919,-39.3719,25.31,66,100,6.8,BR,1717175843
10,tan-tan,28.438,-11.1032,19.97,82,100,7.2,MA,1717175843
11,mount isa,-20.7333,139.5,16.87,94,100,6.69,AU,1717175843
12,hermanus,-34.4187,19.2345,9.89,77,70,2.51,ZA,1717175843
13,blackmans bay,-43.0167,147.3167,8.18,75,71,3.35,AU,1717175843
14,nenjiang,49.1833,125.2167,12.35,55,96,2.49,CN,1717175843
15,ushuaia,-54.8,-68.3,2.81,70,0,1.54,AR,1717175843
16,saint-pierre,-21.3393,55.4781,21.82,83,0,3.09,RE,1717175843
17,grytviken,-54.2811,-36.5092,-4.06,83,39,9.72,GS,1717175844
18,kerikeri,-35.2268,173.9474,9.31,95,13,1.77,NZ,1717175844
19,avarua,-21.2078,-159.775,24.03,64,100,3.09,CK,1717175844
20,whitehorse,60.7161,-135.0538,10.05,41,40,6.17,CA,1717175844
21,ulladulla,-35.35,150.4667,11.62,74,100,3.08,AU,1717175844
22,puerto natales,-51.7236,-72.4875,0.25,100,100,1.03,CL,1717175844
23,masterton,-40.9597,175.6575,12.71,96,95,1.69,NZ,1717175844
24,iqaluit,63.7506,-68.5145,1.85,59,75,5.14,CA,1717175844
25,cody,44.5263,-109.0565,15.11,37,0,2.06,US,1717175845
26,stanley,54.868,-1.6985,14.33,65,20,4.63,GB,1717175845
27,ancud,-41.8697,-73.8203,8.47,90,100,3.12,CL,1717175845
28,jiangkou,25.4872,119.1986,24.37,99,100,1.94,CN,1717175845
29,ilulissat,69.2167,-51.1,2.01,55,0,3.09,GL,1717175845
30,alegrete,-29.7831,-55.7919,17.74,66,84,3.54,BR,1717175845
31,namibe,-15.1961,12.1522,20.26,74,7,4.44,AO,1717175845
32,keflavik,64.0049,-22.5624,8.95,93,100,7.72,IS,1717175846
33,sinabang,2.4803,96.3801,25.41,84,100,2.09,ID,1717175846
34,fale old settlement,-9.3852,-171.2468,28.87,74,87,4.03,TK,1717175846
35,kone,-21.0595,164.8658,21.16,66,55,3.12,NC,1717175846
36,clarkston heights-vineland,46.3874,-117.083,19.13,47,0,0.0,US,1717175846
37,carnarvon,-24.8667,113.6333,19.74,49,0,3.19,AU,1717175846
38,waitangi,-43.9535,-176.5597,11.57,91,39,3.58,NZ,1717175846
39,bethel,41.3712,-73.414,23.44,41,40,2.57,US,1717175686
40,longyearbyen,78.2186,15.6401,4.91,87,75,5.66,SJ,1717175847
41,badger,64.8,-147.5333,14.99,66,20,2.57,US,1717175655
42,remire-montjoly,4.9167,-52.2667,30.02,79,75,3.6,GF,1717175847
43,margaret river,-33.95,115.0667,19.19,72,91,10.17,AU,1717175847
44,port elizabeth,-33.918,25.5701,15.16,92,100,3.09,ZA,1717175679
45,ketchikan,55.3422,-131.6461,11.26,82,100,6.17,US,1717175847
46,arraial do cabo,-22.9661,-42.0278,23.98,73,40,4.12,BR,1717175847
47,akureyri,65.6835,-18.0878,12.96,50,20,9.26,IS,1717175848
48,frodsham,53.2948,-2.7275,18.69,65,40,6.17,GB,1717175558
49,queenstown,-31.8976,26.8753,10.21,82,100,3.68,ZA,1717175848
50,talnakh,69.4865,88.3972,-2.11,91,100,9.5,RU,1717175848
51,agat village,13.3886,144.6585,27.06,85,0,1.54,GU,1717175848
52,lebu,-37.6167,-73.65,11.35,92,100,6.01,CL,1717175798
53,cativa,9.3606,-79.8436,31.77,81,98,1.79,PA,1717175631
54,quellon,-43.1167,-73.6167,8.32,91,100,7.09,CL,1717175791
55,santa cruz,-17.8,-63.1667,27.03,50,40,6.69,BO,1717175645
56,fort st. john,56.2499,-120.8529,12.94,35,20,6.17,CA,1717175765
57,carbonear,47.7332,-53.2148,12.0,95,100,3.14,CA,1717175849
58,afaahiti,-17.75,-149.2833,22.93,72,75,3.05,PF,1717175849
59,kayangel,8.0823,134.7173,28.14,82,89,4.53,PW,1717175849
60,codrington,-38.2667,141.9667,8.24,86,38,2.54,AU,1717175849
61,itoman,26.1247,127.6694,26.43,100,75,2.57,JP,1717175849
62,lompoc,34.6391,-120.4579,16.08,94,100,0.0,US,1717175849
63,gardelegen,52.5252,11.3952,19.94,76,100,1.28,DE,1717175850
64,albany,42.6001,-73.9662,23.16,35,64,1.34,US,1717175268
65,nili,33.7218,66.1302,18.3,24,0,3.86,AF,1717175850
66,edinburgh of the seven seas,-37.0676,-12.3116,14.51,74,100,12.24,SH,1717175850
67,juba,4.8517,31.5825,28.62,55,69,1.17,SS,1717175850
68,markaz-e hukumat-e darweshan,31.1323,64.1934,31.2,6,0,7.33,AF,1717175850
69,weno,7.4515,151.8468,27.42,84,100,5.6,FM,1717175850
70,coahuayana de hidalgo,18.7,-103.6583,33.84,34,73,2.97,MX,1717175851
71,madimba,-10.4,40.3333,24.25,88,19,3.9,TZ,1717175851
72,bilibino,68.0546,166.4372,0.84,70,98,1.4,RU,1717175851
73,tiksi,71.6872,128.8694,4.58,86,100,6.84,RU,1717175583
74,xindi,29.8167,113.4667,20.16,88,100,2.02,CN,1717175851
75,kingscliff,-28.2667,153.5667,19.89,88,40,4.12,AU,1717175851
76,kissidougou,9.1848,-10.0999,28.15,74,89,2.79,GN,1717175851
77,vadso,70.0744,29.7487,11.49,93,75,2.57,NO,1717175739
78,cidade velha,14.9167,-23.6167,27.26,54,20,10.8,CV,1717175767
79,isafjordur,66.0755,-23.124,12.02,32,0,5.14,IS,1717175852
80,ribeira grande,38.5167,-28.7,16.54,88,75,4.63,PT,1717175852
81,soc trang,9.6033,105.98,27.63,82,100,1.41,VN,1717175852
82,temiskaming shores,47.4938,-79.7153,22.89,29,29,2.34,CA,1717175852
83,angaur state,6.906,134.13,29.0,78,94,4.46,PW,1717175852
84,dzuunharaa,48.8523,106.4579,11.95,55,37,1.43,MN,1717175853
85,chonchi,-42.6128,-73.8092,9.51,93,100,2.38,CL,1717175853
86,mil'kovo,55.6078,37.7956,22.73,81,95,3.68,RU,1717175853
87,arrifes,37.7667,-25.7,19.14,83,20,5.66,PT,1717175853
88,katsuura,35.1333,140.3,17.65,93,100,2.03,JP,1717175853
89,windhoek,-22.5594,17.0832,19.27,32,0,2.06,NA,1717175834
90,arinos,-15.9169,-46.1056,31.95,29,11,1.44,BR,1717175853
91,uzgen,40.7699,73.3007,15.16,52,0,3.1,KG,1717175853
92,camapua,-19.5314,-54.0439,29.54,22,0,2.73,BR,1717175853
93,qarqaraly,49.4058,75.4742,9.46,64,59,2.46,KZ,1717175854
94,maposeni,-10.5833,35.4,17.48,71,7,1.68,TZ,1717175854
95,catio,11.2833,-15.25,31.41,46,75,5.21,GW,1717175854
96,geraldton,-28.7667,114.6,11.23,82,1,6.69,AU,1717175854
97,yellowknife,62.456,-114.3525,4.67,98,100,8.23,CA,1717175766
98,zhosaly,45.4878,64.0781,27.27,15,22,4.54,KZ,1717175854
99,tirlyanskiy,54.2109,58.5806,13.44,78,91,1.21,RU,1717175855
100,naze,28.3667,129.4833,22.51,91,100,3.56,JP,1717175855
101,dunedin,-45.8742,170.5036,14.58,58,100,6.02,NZ,1717175771
102,puerto ayora,-0.7393,-90.3518,24.98,95,85,3.58,EC,1717175855
103,mazamari,-11.3258,-74.5308,30.0,48,25,1.2,PE,1717175855
104,invercargill,-46.4,168.35,15.01,80,86,6.26,NZ,1717175855
105,atafu village,-8.5421,-172.5159,28.89,74,75,3.63,TK,1717175855
106,qaqortoq,60.7167,-46.0333,2.24,88,100,2.05,GL,1717175855
107,mumford,5.2618,-0.759,28.11,78,98,4.77,GH,1717175856
108,cururupu,-1.8283,-44.8683,27.25,91,100,1.84,BR,1717175856
109,contamana,-7.3333,-75.0167,30.93,43,1,1.48,PE,1717175856
110,suva,-18.1416,178.4415,21.71,100,75,2.06,FJ,1717175856
111,salekhard,66.53,66.6019,1.33,81,96,3.58,RU,1717175856
112,harnosand,62.6323,17.9379,24.01,63,73,2.68,SE,1717175856
113,thompson,55.7435,-97.8558,12.09,94,75,6.69,CA,1717175638
114,chibougamau,49.9168,-74.3659,17.79,25,75,2.57,CA,1717175838
115,posto fiscal rolim de moura,-13.0833,-62.2667,33.35,31,0,1.13,BR,1717175856
116,savanna-la-mar,18.219,-78.1332,30.97,64,99,2.48,JM,1717175857
117,bredasdorp,-34.5322,20.0403,11.59,78,100,2.63,ZA,1717175857
118,santa ana,33.7456,-117.8678,19.93,82,100,2.06,US,1717175779
119,dudinka,69.4058,86.1778,-1.85,92,100,2.68,RU,1717175857
120,mangai,-4.05,19.5333,27.68,62,99,1.26,CD,1717175857
121,lihue,21.9789,-159.3672,23.77,79,40,6.17,US,1717175857
122,hasaki,35.7333,140.8333,17.38,90,100,4.77,JP,1717175857
123,college,64.8569,-147.8028,15.04,69,20,2.57,US,1717175857
124,punta arenas,-53.15,-70.9167,3.06,93,75,1.54,CL,1717175439
125,georgetown,5.4112,100.3354,27.19,90,20,1.03,MY,1717175711
126,port lincoln,-34.7333,135.8667,12.09,65,39,1.94,AU,1717175858
127,santana,-0.0583,-51.1817,30.1,74,75,3.09,BR,1717175858
128,tandil,-37.3217,-59.1332,14.27,65,100,6.07,AR,1717175426
129,berezovo,63.9381,65.0419,1.35,78,65,3.26,RU,1717175858
130,papao,-17.75,-149.55,23.82,72,29,3.28,PF,1717175859
131,monroeville,40.4212,-79.7881,21.46,39,0,1.54,US,1717175859
132,broken hill,-31.95,141.4333,12.06,75,92,3.94,AU,1717175859
133,hackettstown,40.854,-74.8291,23.63,41,5,0.0,US,1717175859
134,san antonio de pale,-1.4014,5.6325,26.81,76,89,5.54,GQ,1717175859
135,cedar rapids,42.0083,-91.6441,25.31,51,0,6.17,US,1717175605
136,fortaleza,-3.7227,-38.5247,31.15,81,75,5.14,BR,1717175859
137,pisco,-13.7,-76.2167,19.03,72,75,2.57,PE,1717175860
138,malayer,34.2969,48.8235,24.94,25,0,1.03,IR,1717175860
139,yei,4.095,30.6779,25.9,64,93,1.51,SS,1717175860
140,wailua homesteads,22.0669,-159.378,23.44,84,40,6.17,US,1717175860
141,enewetak,11.3474,162.3373,27.59,80,100,4.53,MH,1717175860
142,palikir - national government center,6.9248,158.1611,25.41,94,100,1.54,FM,1717175860
143,susuman,62.7833,148.1667,1.66,57,5,4.92,RU,1717175860
144,brisas de zicatela,15.8369,-97.0419,32.29,66,0,4.63,MX,1717175860
145,al kharj,24.155,47.3346,39.32,7,28,4.27,SA,1717175812
146,papatowai,-46.5619,169.4708,16.22,62,88,5.82,NZ,1717175861
147,saudarkrokur,65.7461,-19.6394,8.19,78,100,6.47,IS,1717175861
148,beipiao,41.7919,120.7792,14.61,54,18,1.09,CN,1717175861
149,port moresby,-9.4431,147.1797,24.45,93,39,2.87,PG,1717175861
150,olonkinbyen,70.9221,-8.7187,1.08,94,45,8.23,SJ,1717175861
151,labytnangi,66.6572,66.4183,1.32,81,98,5.46,RU,1717175861
152,westport,41.1415,-73.3579,24.29,34,20,4.47,US,1717175645
153,nykarleby,63.5228,22.5307,24.08,61,37,1.14,FI,1717175862
154,sola,-13.8833,167.55,26.63,80,52,7.27,VU,1717175862
155,gambela,8.25,34.5833,23.3,89,55,2.95,ET,1717175862
156,patamundai,20.5667,86.5667,27.73,74,80,2.81,IN,1717175862
157,heroica caborca,30.7167,-112.15,33.34,8,4,3.06,MX,1717175862
158,lerwick,60.1545,-1.1494,11.0,77,80,5.15,GB,1717175828
159,bubaque,11.2833,-15.8333,26.88,71,76,5.72,GW,1717175862
160,tateyama,34.9833,139.8667,17.79,93,100,0.62,JP,1717175863
161,krasnoarmeyskoye,52.7182,50.0322,23.31,42,43,2.14,RU,1717175863
162,dryden,49.7833,-92.7503,18.16,42,20,11.83,CA,1717175806
163,altamont,42.2068,-121.7372,17.65,50,0,2.68,US,1717175863
164,san jose de mayo,-34.3375,-56.7136,15.25,77,100,4.79,UY,1717175863
165,mexico,15.0646,120.7198,29.84,83,87,0.48,PH,1717175834
166,port alfred,-33.5906,26.891,14.54,96,100,4.96,ZA,1717175863
167,topki,55.2769,85.6163,5.89,76,53,2.2,RU,1717175610
168,hamilton,39.1834,-84.5333,23.94,34,0,5.14,US,1717175100
169,silopi,37.2497,42.4694,26.65,27,48,1.97,TR,1717175864
170,yanam,16.7333,82.2167,29.56,87,68,0.88,IN,1717175864
171,praia da vitoria,38.7333,-27.0667,21.14,78,40,8.32,PT,1717175864
172,black point,-34.6187,137.8972,12.54,62,1,2.65,AU,1717175864
173,trincomalee,8.5711,81.2335,28.35,86,91,5.37,LK,1717175864
174,vilyuchinsk,52.9306,158.4028,7.18,88,92,1.28,RU,1717175864
175,balaipungut,1.05,101.2833,24.27,98,100,1.4,ID,1717175864
176,mirnyy,62.5353,113.9611,10.13,65,11,2.24,RU,1717175865
177,dededo village,13.5178,144.8391,26.44,83,0,2.57,GU,1717175865
178,hithadhoo,-0.6,73.0833,29.21,79,62,7.67,MV,1717175865
179,baikunthpur,23.25,82.55,33.92,26,29,1.05,IN,1717175865
180,saipan,15.1355,145.701,27.39,94,20,3.6,MP,1717175693
181,magadan,59.5667,150.8,8.63,74,93,1.25,RU,1717175865
182,new norfolk,-42.7826,147.0587,8.84,89,46,1.27,AU,1717175865
183,howrah,22.5892,88.3103,28.0,89,40,1.54,IN,1717175865
184,kapa'a,22.0752,-159.319,24.18,84,40,6.17,US,1717175866
185,kitee,62.1,30.15,21.43,53,28,0.69,FI,1717175866
186,chulakkurgan,43.765,69.1814,22.17,20,27,1.63,KZ,1717175866
187,liwale,-9.7667,37.9333,20.62,66,19,1.29,TZ,1717175866
188,alice springs,-23.7,133.8833,7.75,100,0,0.0,AU,1717175576
189,bom jesus,-9.0744,-44.3586,36.8,23,1,2.65,BR,1717175866
190,hilo,19.7297,-155.09,21.85,91,75,2.06,US,1717175867
191,tofol,5.3248,163.0078,28.47,71,100,3.49,FM,1717175867
192,el jadid,33.2549,-8.506,20.75,82,12,6.19,MA,1717175867
193,puerto deseado,-47.7503,-65.8938,9.36,81,100,7.53,AR,1717175867
194,uturoa,-16.7333,-151.4333,27.48,73,57,6.07,PF,1717175867
195,vuktyl,63.8567,57.3094,3.39,75,90,4.02,RU,1717175868
196,malanje,-9.5402,16.341,21.91,42,100,2.38,AO,1717175868
197,zhanaozen,43.3,52.8,30.14,11,42,7.03,KZ,1717175868
198,kodiak,57.79,-152.4072,6.73,93,100,7.2,US,1717175868
199,veinticinco de mayo,-35.4323,-60.1727,16.1,75,100,2.68,AR,1717175868
200,aasiaat,68.7098,-52.8699,-1.25,64,22,5.88,GL,1717175868
201,bonthe,7.5264,-12.505,28.62,74,100,4.33,SL,1717175868
202,talcahuano,-36.7167,-73.1167,12.82,88,100,3.6,CL,1717175715
203,kotri,25.366,68.3122,29.85,72,0,9.57,PK,1717175869
204,cidreira,-30.1811,-50.2056,16.38,72,9,4.33,BR,1717175869
205,aldama,22.9167,-98.0667,33.77,41,72,5.62,MX,1717175619
206,yen bai,21.7,104.8667,25.62,87,49,0.52,VN,1717175869
207,udachny,66.4167,112.4,9.69,35,74,3.19,RU,1717175869
208,wamba,8.9333,8.6,31.01,57,72,1.87,NG,1717175869
209,morondava,-20.2833,44.2833,24.32,68,0,4.69,MG,1717175869
210,ves'yegonsk,58.664,37.2604,20.88,69,9,2.37,RU,1717175870
211,george town,5.4112,100.3354,27.19,90,20,1.03,MY,1717175624
212,ust-nera,64.5667,143.2,5.51,51,0,3.31,RU,1717175870
213,sao vicente,-23.9631,-46.3919,24.1,56,75,2.68,BR,1717175673
214,concordia,-31.393,-58.0209,20.04,64,40,1.54,AR,1717175732
215,utrik,11.2278,169.8474,27.89,78,100,4.62,MH,1717175870
216,canto do buriti,-8.11,-42.9444,35.8,25,11,4.02,BR,1717175870
217,bunia,1.5667,30.25,21.19,73,57,1.88,CD,1717175871
218,tucuma,-0.1833,-50.05,29.56,69,95,2.71,BR,1717175871
219,mont-dore,-22.2833,166.5833,22.78,99,58,3.73,NC,1717175871
220,st. john's,47.5649,-52.7093,11.75,96,100,2.06,CA,1717175851
221,happy valley-goose bay,53.3168,-60.3315,9.17,61,75,3.09,CA,1717175710
222,poso,-1.3959,120.7524,25.5,85,87,1.54,ID,1717175871
223,punta del este,-34.9667,-54.95,17.2,88,75,3.58,UY,1717175777
224,ekibastuz,51.6667,75.3667,10.94,57,74,4.92,KZ,1717175871
225,general conesa,-40.1,-64.4333,14.61,56,94,8.26,AR,1717175743
226,ndele,8.4109,20.6473,30.31,49,75,1.87,CF,1717175872
227,labrador city,52.9463,-66.9114,11.95,47,20,5.66,CA,1717175828
228,ulanhot,46.0833,122.0833,13.34,54,64,0.43,CN,1717175872
229,nova sintra,14.8667,-24.7167,23.24,81,6,9.64,CV,1717175872
230,arvika,59.6553,12.5852,23.34,63,90,3.02,SE,1717175872
231,yeppoon,-23.1333,150.7333,20.14,86,80,3.01,AU,1717175872
232,gadani,25.1185,66.7299,31.12,86,0,7.97,PK,1717175873
233,daru,-9.0763,143.2092,26.13,89,96,7.1,PG,1717175873
234,fort bragg,35.139,-79.006,25.46,30,20,3.09,US,1717175873
235,los frentones,-26.4077,-61.4137,23.27,42,100,2.96,AR,1717175873
236,kencong,-8.2833,113.3667,24.29,94,100,0.86,ID,1717175873
237,lanzhou,36.0564,103.7922,20.18,40,100,2.25,CN,1717175603
238,villa gesell,-37.2639,-56.973,15.03,71,100,5.97,AR,1717175646
239,atasu,48.6814,71.6433,14.88,54,67,3.75,KZ,1717175874
240,byron bay,-28.65,153.6167,18.17,87,100,4.71,AU,1717175874
241,shibirghan,36.6676,65.7529,29.77,12,0,4.3,AF,1717175874
242,isangel,-19.55,169.2667,22.73,81,46,8.33,VU,1717175874
243,ngorongoro,-3.2397,35.4875,11.4,86,51,1.84,TZ,1717175874
244,hawaiian paradise park,19.5933,-154.9731,21.73,93,75,2.06,US,1717175875
245,keelung,25.1283,121.7419,27.83,92,100,1.83,TW,1717175875
246,boa vista,2.8197,-60.6733,27.99,74,75,0.51,BR,1717175875
247,nuku'alofa,-21.1333,-175.2,23.36,64,100,10.96,TO,1717175788
248,tura,25.5198,90.2201,25.11,96,17,3.53,IN,1717175875
249,jalqani,12.4486,34.2186,38.33,19,87,1.69,SD,1717175875
250,gillette,44.2911,-105.5022,15.62,61,75,7.2,US,1717175762
251,lubu,23.1742,112.2809,25.05,97,100,2.65,CN,1717175875
252,bayanhongor,46.7167,100.1167,6.4,58,84,1.56,MN,1717175876
253,biltine,14.5333,20.9167,39.42,16,47,3.3,TD,1717175876
254,holualoa,19.6228,-155.9522,22.91,90,75,0.0,US,1717175876
255,tolanaro,-25.0319,46.9987,23.04,73,0,7.2,MG,1717175876
256,san patricio,28.017,-97.5169,29.4,69,87,6.77,US,1717175876
257,xining,36.6167,101.7667,13.0,59,100,1.37,CN,1717175876
258,aripuana,-9.1667,-60.6333,34.48,32,2,1.49,BR,1717175634
259,andratx,39.5755,2.4202,21.82,72,62,4.03,ES,1717175847
260,nabire,-3.3667,135.4833,24.76,93,93,1.2,ID,1717175877
261,patong,7.8961,98.2966,26.08,84,100,2.1,TH,1717175877
262,meknes,33.9776,-5.525,33.49,43,40,4.63,MA,1717175877
263,maceio,-9.6658,-35.7353,25.69,88,75,4.63,BR,1717175169
264,piti village,13.4626,144.6933,27.03,85,0,1.54,GU,1717175877
265,xuanzhou,30.9525,118.7553,18.49,87,99,2.28,CN,1717175584
266,la palma,33.8464,-118.0467,20.5,82,100,1.79,US,1717175762
267,guiuan,11.0333,125.7247,29.5,76,16,5.01,PH,1717175878
268,totness,5.8833,-56.3167,29.39,72,78,2.54,SR,1717175878
269,banjarmasin,-3.3244,114.591,27.08,97,37,1.09,ID,1717175547
270,jamestown,42.097,-79.2353,20.01,41,0,2.06,US,1717175725
271,kuanda,56.3161,116.0806,15.67,55,85,0.85,RU,1717175878
272,stephenville,32.2207,-98.2023,25.48,73,0,3.6,US,1717175846
273,pokhara,28.2333,83.9833,25.46,36,37,3.17,NP,1717175878
274,alo,7.4178,6.7371,30.28,65,98,2.5,NG,1717175878
275,anadyr,64.75,177.4833,4.28,64,0,6.0,RU,1717175879
276,arboletes,8.8505,-76.4269,27.18,81,100,2.26,CO,1717175879
